,ID,Destination,Reason for Leaving,Entry_Date,Exit_Date,Duration
20970496,489790,No exit interview,Unknown/Disappeared,2018-08-08,2018-08-31,23 
20970504,489369,No exit interview,Unknown/Disappeared,2018-08-08,2018-08-31,23 
20970512,489875,No exit interview,Unknown/Disappeared,2018-08-21,2018-09-10,20 
20970584,489961,With friends temporarily,Criminal activity / violence,2018-08-16,2018-12-05,111 
20970592,298422,Client rental without subsidy,Completed program,2018-08-03,2018-10-02,60 
20970600,451261,With friends temporarily,Non-compliance with program,2018-08-16,2018-09-04,19 
20970616,451261,Place not meant for habitation,Criminal activity / violence,2018-09-17,2018-10-01,14 
20970664,407506,Medical facility,Needs could not be met,2018-08-07,2018-09-19,43 
20970736,407506,No exit interview,Unknown/Disappeared,2018-11-05,2019-03-01,116 
20970808,407506,Psychiatric facility,Needs could not be met,2019-03-04,2019-03-07,3 
20970880,407506,Psychiatric facility,Needs could not be met,2019-04-10,2019-04-24,14 
20970952,407506,Psychiatric facility,Needs could not be met,2019-05-15,2019-06-10,26 
20971024,407506,Incarcerated,Criminal activity / violence,2019-06-20,2019-06-29,9 
20971096,407506,Place not meant for habitation,Non-compliance with program,2019-07-13,2019-08-23,41 
20971168,407506,Data not collected,Unknown/Disappeared,2019-09-24,2019-10-15,21 
20971240,407506,,,2019-10-25,,
20973904,407506,Medical facility,Needs could not be met,2018-08-07,2018-09-19,43 
20973976,407506,No exit interview,Unknown/Disappeared,2018-11-05,2019-03-01,116 
20974048,407506,Psychiatric facility,Needs could not be met,2019-03-04,2019-03-07,3 
20974120,407506,Psychiatric facility,Needs could not be met,2019-04-10,2019-04-24,14 
20974192,407506,Psychiatric facility,Needs could not be met,2019-05-15,2019-06-10,26 
20974264,407506,Incarcerated,Criminal activity / violence,2019-06-20,2019-06-29,9 
20974336,407506,Place not meant for habitation,Non-compliance with program,2019-07-13,2019-08-23,41 
20974408,407506,Data not collected,Unknown/Disappeared,2019-09-24,2019-10-15,21 
20974480,407506,,,2019-10-25,,
20974552,407506,Medical facility,Needs could not be met,2018-08-07,2018-09-19,43 
20974624,407506,No exit interview,Unknown/Disappeared,2018-11-05,2019-03-01,116 
20974696,407506,Psychiatric facility,Needs could not be met,2019-03-04,2019-03-07,3 
20974768,407506,Psychiatric facility,Needs could not be met,2019-04-10,2019-04-24,14 
20974840,407506,Psychiatric facility,Needs could not be met,2019-05-15,2019-06-10,26 
20974912,407506,Incarcerated,Criminal activity / violence,2019-06-20,2019-06-29,9 
20974984,407506,Place not meant for habitation,Non-compliance with program,2019-07-13,2019-08-23,41 
20975056,407506,Data not collected,Unknown/Disappeared,2019-09-24,2019-10-15,21 
20975128,407506,,,2019-10-25,,
20975200,407506,Medical facility,Needs could not be met,2018-08-07,2018-09-19,43 
20975272,407506,No exit interview,Unknown/Disappeared,2018-11-05,2019-03-01,116 
20975344,407506,Psychiatric facility,Needs could not be met,2019-03-04,2019-03-07,3 
20975416,407506,Psychiatric facility,Needs could not be met,2019-04-10,2019-04-24,14 
20975488,407506,Psychiatric facility,Needs could not be met,2019-05-15,2019-06-10,26 
20975560,407506,Incarcerated,Criminal activity / violence,2019-06-20,2019-06-29,9 
20975632,407506,Place not meant for habitation,Non-compliance with program,2019-07-13,2019-08-23,41 
20975704,407506,Data not collected,Unknown/Disappeared,2019-09-24,2019-10-15,21 
20975776,407506,,,2019-10-25,,
20976624,490117,With family permanently,Left for housing opp. before completing program,2018-08-24,2018-09-10,17 
20976632,358124,With friends temporarily,Other,2016-02-12,2016-02-23,11 
20976656,358124,With friends temporarily,Other,2016-02-24,2016-03-01,6 
20976680,358124,Place not meant for habitation,Non-compliance with program,2018-08-24,2018-08-29,5 
20976912,450854,Emergency shelter,Needs could not be met,2017-02-12,2017-02-21,9 
20977193,490732,Place not meant for habitation,Non-compliance with program,2018-09-03,2018-09-05,2 
20977217,490732,No exit interview,Unknown/Disappeared,2018-09-12,2019-02-01,142 
20977241,490732,No exit interview,Unknown/Disappeared,2019-04-10,2019-04-20,10 
20977409,202524,No exit interview,Unknown/Disappeared,2018-09-01,2019-02-20,172 
20977425,202524,With friends permanently,Left for housing opp. before completing program,2019-04-22,2019-07-31,100 
20977473,129902,Client rental with other subsidy,Completed program,2018-09-01,2019-04-08,219 
20977481,490730,Client rental with other subsidy,Completed program,2018-09-01,2019-02-01,153 
20977489,419389,Emergency shelter,Unknown/Disappeared,2018-08-26,2018-09-04,9 
20977497,348889,With family temporarily,Non-compliance with program,2018-08-03,2019-09-29,422 
20977506,490891,No exit interview,Unknown/Disappeared,2018-09-04,2018-09-10,6 
20977522,490891,,,2019-05-22,,
20977538,490891,No exit interview,Unknown/Disappeared,2018-09-04,2018-09-10,6 
20977554,490891,,,2019-05-22,,
20977570,386564,Psychiatric facility,Needs could not be met,2018-09-04,2018-11-08,65 
20977586,386564,Client rental without subsidy,Left for housing opp. before completing program,2018-11-16,2018-11-26,10 
20977602,386564,Psychiatric facility,Needs could not be met,2018-09-04,2018-11-08,65 
20977618,386564,Client rental without subsidy,Left for housing opp. before completing program,2018-11-16,2018-11-26,10 
20977634,467749,Client rental with other subsidy,Completed program,2018-09-05,2019-01-08,125 
20977642,220296,No exit interview,Unknown/Disappeared,2018-09-05,2018-09-19,14 
20977658,220296,With friends permanently,Left for housing opp. before completing program,2018-10-17,2018-11-20,34 
20977674,220296,No exit interview,Unknown/Disappeared,2018-09-05,2018-09-19,14 
20977690,220296,With friends permanently,Left for housing opp. before completing program,2018-10-17,2018-11-20,34 
20977706,96440,No exit interview,Unknown/Disappeared,2018-09-06,2018-09-17,11 
20977778,475701,Client rental without subsidy,Completed program,2018-02-18,2018-07-24,156 
20977794,475701,Client rental with other subsidy,Completed program,2018-09-07,2018-12-17,101 
20977842,445476,Hotel or motel without emergency voucher,Left for housing opp. before completing program,2018-09-10,2018-12-17,98 
20977850,491343,With family temporarily,Left for housing opp. before completing program,2018-09-10,2018-10-25,45 
20977858,489242,Client does not know,Non-compliance with program,2018-09-04,2018-12-11,98 
20977866,361388,Place not meant for habitation,Disagreement with rules/persons,2018-09-04,2018-12-24,111 
20977874,249912,Data not collected,Unknown/Disappeared,2016-08-29,2016-09-12,14 
20977914,249912,Client rental without subsidy,Left for housing opp. before completing program,2016-09-26,2016-10-27,31 
20977954,249912,With family permanently,Completed program,2017-11-30,2018-04-06,127 
20977994,249912,Client rental with other subsidy,Left for housing opp. before completing program,2018-09-10,2018-12-22,103 
20978034,249912,With family permanently,Left for housing opp. before completing program,2019-01-02,2019-01-18,16 
20979090,491574,With family permanently,Non-compliance with program,2018-09-10,2018-11-16,67 
20979098,172045,Client does not know,Non-compliance with program,2018-09-13,2018-12-11,89 
20979171,457391,No exit interview,Unknown/Disappeared,2017-06-19,2017-11-21,155 
20979195,457391,With friends temporarily,Non-compliance with program,2018-05-01,2018-08-31,122 
20979219,457391,No exit interview,Unknown/Disappeared,2018-09-18,2019-04-09,203 
20979387,491501,Client rental with other subsidy,Completed program,2018-09-04,2018-11-15,72 
20979395,468179,No exit interview,Unknown/Disappeared,2017-11-13,2017-11-28,15 
20979419,468179,No exit interview,Unknown/Disappeared,2018-09-10,2018-10-01,21 
20979443,468179,No exit interview,Unknown/Disappeared,2018-10-02,2018-11-04,33 
20979467,468179,No exit interview,Unknown/Disappeared,2017-11-13,2017-11-28,15 
20979491,468179,No exit interview,Unknown/Disappeared,2018-09-10,2018-10-01,21 
20979515,468179,No exit interview,Unknown/Disappeared,2018-10-02,2018-11-04,33 
20979611,183775,Client rental without subsidy,Completed program,2017-08-01,2017-09-08,38 
20979628,183775,Client rental with RRH subsidy,Completed program,2018-09-01,2019-07-31,333 
20979645,183775,Client rental without subsidy,Completed program,2017-08-01,2017-09-08,38 
20979662,183775,Client rental with RRH subsidy,Completed program,2018-09-01,2019-07-31,333 
20979679,485857,No exit interview,Unknown/Disappeared,2018-06-30,2018-09-10,72 
20979695,485857,With friends temporarily,Non-compliance with program,2018-09-19,2018-11-25,67 
20979959,405977,Medical facility,Needs could not be met,2018-09-12,2018-10-01,19 
20979975,405977,With family temporarily,Non-compliance with program,2018-10-05,2018-11-28,54 
20980023,491530,Client rental with other subsidy,Completed program,2018-09-04,2018-11-15,72 
20980031,492055,Psychiatric facility,Needs could not be met,2018-09-20,2018-10-19,29 
20980039,492054,With friends temporarily,Non-compliance with program,2018-09-20,2019-02-12,145 
20980055,492054,Place not meant for habitation,Disagreement with rules/persons,2019-09-03,2019-10-14,41 
20980071,492054,With friends temporarily,Non-compliance with program,2018-09-20,2019-02-12,145 
20980087,492054,Place not meant for habitation,Disagreement with rules/persons,2019-09-03,2019-10-14,41 
20980103,205664,Client rental with VASH subsidy,Completed program,2018-09-20,2018-12-27,98 
20980111,296817,With friends temporarily,Non-compliance with program,2018-09-20,2018-10-03,13 
20980135,296817,Place not meant for habitation,Needs could not be met,2018-11-08,2019-01-03,56 
20980159,296817,Place not meant for habitation,Non-compliance with program,2019-01-21,2019-04-09,78 
20980183,296817,With friends temporarily,Non-compliance with program,2018-09-20,2018-10-03,13 
20980207,296817,Place not meant for habitation,Needs could not be met,2018-11-08,2019-01-03,56 
20980231,296817,Place not meant for habitation,Non-compliance with program,2019-01-21,2019-04-09,78 
20980327,2458,Hotel or motel without emergency voucher,Non-compliance with program,2018-05-02,2018-07-15,74 
20980351,2458,Place not meant for habitation,Non-compliance with program,2018-09-20,2018-10-25,35 
20980375,2458,Place not meant for habitation,Non-compliance with program,2018-10-31,2018-12-12,42 
20980543,216598,With friends temporarily,Other,2016-05-13,2016-07-01,49 
20980588,216598,Data not collected,Unknown/Disappeared,2016-07-10,2016-08-04,25 
20980633,216598,No exit interview,Unknown/Disappeared,2017-01-28,2017-02-01,4 
20980678,216598,Client rental with other subsidy,Completed program,2017-02-01,2017-03-03,30 
20980723,216598,No exit interview,Unknown/Disappeared,2018-09-20,2019-03-17,178 
20981443,216598,With friends temporarily,Other,2016-05-13,2016-07-01,49 
20981488,216598,Data not collected,Unknown/Disappeared,2016-07-10,2016-08-04,25 
20981533,216598,No exit interview,Unknown/Disappeared,2017-01-28,2017-02-01,4 
20981578,216598,Client rental with other subsidy,Completed program,2017-02-01,2017-03-03,30 
20981623,216598,No exit interview,Unknown/Disappeared,2018-09-20,2019-03-17,178 
20981668,492213,With family temporarily,Left for housing opp. before completing program,2018-09-17,2018-12-15,89 
20981676,492384,With friends temporarily,Non-compliance with program,2018-09-04,2018-12-13,100 
20981748,296887,With friends temporarily,Other,2015-08-15,2015-12-21,128 
20981872,296887,With friends temporarily,Other,2016-02-01,2016-02-18,17 
20981996,296887,With friends temporarily,Other,2016-02-19,2016-07-02,134 
20982120,296887,No exit interview,Unknown/Disappeared,2016-11-03,2016-11-15,12 
20982244,296887,No exit interview,Unknown/Disappeared,2017-01-20,2017-01-26,6 
20982368,296887,With family temporarily,Other,2017-02-20,2017-03-28,36 
20982492,296887,With family temporarily,Other,2017-04-19,2017-05-01,12 
20982616,296887,No exit interview,Unknown/Disappeared,2017-08-14,2017-08-25,11 
20982740,296887,No exit interview,Unknown/Disappeared,2017-09-05,2017-09-28,23 
20982864,296887,Hotel or motel without emergency voucher,Non-compliance with program,2018-09-24,2018-10-01,7 
20982988,296887,Place not meant for habitation,Non-compliance with program,2018-11-19,2018-11-30,11 
20983112,296887,Place not meant for habitation,Non-compliance with program,2019-04-29,2019-05-02,3 
20983236,296887,Place not meant for habitation,Non-compliance with program,2019-08-19,2019-08-21,2 
20983360,296887,,,2019-08-11,,
20983484,296887,With friends temporarily,Non-compliance with program,2019-08-28,2019-09-16,19 
20992908,296887,With friends temporarily,Other,2015-08-15,2015-12-21,128 
20993032,296887,With friends temporarily,Other,2016-02-01,2016-02-18,17 
20993156,296887,With friends temporarily,Other,2016-02-19,2016-07-02,134 
20993280,296887,No exit interview,Unknown/Disappeared,2016-11-03,2016-11-15,12 
20993404,296887,No exit interview,Unknown/Disappeared,2017-01-20,2017-01-26,6 
20993528,296887,With family temporarily,Other,2017-02-20,2017-03-28,36 
20993652,296887,With family temporarily,Other,2017-04-19,2017-05-01,12 
20993776,296887,No exit interview,Unknown/Disappeared,2017-08-14,2017-08-25,11 
20993900,296887,No exit interview,Unknown/Disappeared,2017-09-05,2017-09-28,23 
20994024,296887,Hotel or motel without emergency voucher,Non-compliance with program,2018-09-24,2018-10-01,7 
20994148,296887,Place not meant for habitation,Non-compliance with program,2018-11-19,2018-11-30,11 
20994272,296887,Place not meant for habitation,Non-compliance with program,2019-04-29,2019-05-02,3 
20994396,296887,Place not meant for habitation,Non-compliance with program,2019-08-19,2019-08-21,2 
20994520,296887,,,2019-08-11,,
20994644,296887,With friends temporarily,Non-compliance with program,2019-08-28,2019-09-16,19 
20998488,296887,With friends temporarily,Other,2015-08-15,2015-12-21,128 
20998612,296887,With friends temporarily,Other,2016-02-01,2016-02-18,17 
20998736,296887,With friends temporarily,Other,2016-02-19,2016-07-02,134 
20998860,296887,No exit interview,Unknown/Disappeared,2016-11-03,2016-11-15,12 
20998984,296887,No exit interview,Unknown/Disappeared,2017-01-20,2017-01-26,6 
20999108,296887,With family temporarily,Other,2017-02-20,2017-03-28,36 
20999232,296887,With family temporarily,Other,2017-04-19,2017-05-01,12 
20999356,296887,No exit interview,Unknown/Disappeared,2017-08-14,2017-08-25,11 
20999480,296887,No exit interview,Unknown/Disappeared,2017-09-05,2017-09-28,23 
20999604,296887,Hotel or motel without emergency voucher,Non-compliance with program,2018-09-24,2018-10-01,7 
20999728,296887,Place not meant for habitation,Non-compliance with program,2018-11-19,2018-11-30,11 
20999852,296887,Place not meant for habitation,Non-compliance with program,2019-04-29,2019-05-02,3 
20999976,296887,Place not meant for habitation,Non-compliance with program,2019-08-19,2019-08-21,2 
21000100,296887,,,2019-08-11,,
21000224,296887,With friends temporarily,Non-compliance with program,2019-08-28,2019-09-16,19 
21002208,296887,With friends temporarily,Other,2015-08-15,2015-12-21,128 
21002332,296887,With friends temporarily,Other,2016-02-01,2016-02-18,17 
21002456,296887,With friends temporarily,Other,2016-02-19,2016-07-02,134 
21002580,296887,No exit interview,Unknown/Disappeared,2016-11-03,2016-11-15,12 
21002704,296887,No exit interview,Unknown/Disappeared,2017-01-20,2017-01-26,6 
21002828,296887,With family temporarily,Other,2017-02-20,2017-03-28,36 
21002952,296887,With family temporarily,Other,2017-04-19,2017-05-01,12 
21003076,296887,No exit interview,Unknown/Disappeared,2017-08-14,2017-08-25,11 
21003200,296887,No exit interview,Unknown/Disappeared,2017-09-05,2017-09-28,23 
21003324,296887,Hotel or motel without emergency voucher,Non-compliance with program,2018-09-24,2018-10-01,7 
21003448,296887,Place not meant for habitation,Non-compliance with program,2018-11-19,2018-11-30,11 
21003572,296887,Place not meant for habitation,Non-compliance with program,2019-04-29,2019-05-02,3 
21003696,296887,Place not meant for habitation,Non-compliance with program,2019-08-19,2019-08-21,2 
21003820,296887,,,2019-08-11,,
21003944,296887,With friends temporarily,Non-compliance with program,2019-08-28,2019-09-16,19 
21007788,296887,With friends temporarily,Other,2015-08-15,2015-12-21,128 
21007912,296887,With friends temporarily,Other,2016-02-01,2016-02-18,17 
21008036,296887,With friends temporarily,Other,2016-02-19,2016-07-02,134 
21008160,296887,No exit interview,Unknown/Disappeared,2016-11-03,2016-11-15,12 
21008284,296887,No exit interview,Unknown/Disappeared,2017-01-20,2017-01-26,6 
21008408,296887,With family temporarily,Other,2017-02-20,2017-03-28,36 
21008532,296887,With family temporarily,Other,2017-04-19,2017-05-01,12 
21008656,296887,No exit interview,Unknown/Disappeared,2017-08-14,2017-08-25,11 
21008780,296887,No exit interview,Unknown/Disappeared,2017-09-05,2017-09-28,23 
21008904,296887,Hotel or motel without emergency voucher,Non-compliance with program,2018-09-24,2018-10-01,7 
21009028,296887,Place not meant for habitation,Non-compliance with program,2018-11-19,2018-11-30,11 
21009152,296887,Place not meant for habitation,Non-compliance with program,2019-04-29,2019-05-02,3 
21009276,296887,Place not meant for habitation,Non-compliance with program,2019-08-19,2019-08-21,2 
21009400,296887,,,2019-08-11,,
21009524,296887,With friends temporarily,Non-compliance with program,2019-08-28,2019-09-16,19 
21009648,485403,With friends temporarily,Left for housing opp. before completing program,2018-09-21,2018-12-03,73 
21012547,270573,No exit interview,Unknown/Disappeared,2016-09-12,2016-10-04,22 
21012580,270573,Place not meant for habitation,Non-compliance with program,2018-09-24,2018-10-01,7 
21012613,270573,No exit interview,Unknown/Disappeared,2016-09-12,2016-10-04,22 
21012646,270573,Place not meant for habitation,Non-compliance with program,2018-09-24,2018-10-01,7 
21012679,492595,No exit interview,Unknown/Disappeared,2018-09-21,2018-11-26,66 
21018519,217790,Client rental without subsidy,Left for housing opp. before completing program,2018-09-24,2018-10-04,10 
21018527,492690,With friends temporarily,Non-compliance with program,2018-09-17,2019-02-18,154 
21018535,492861,Subsgtance abuse treatment center,Needs could not be met,2018-09-22,2018-11-20,59 
21018544,256214,No exit interview,Unknown/Disappeared,2018-06-04,2018-06-07,3 
21018568,256214,Medical facility,Needs could not be met,2018-07-18,2018-09-14,58 
21018592,256214,Transitional homeless housing,Completed program,2018-10-01,2018-12-03,63 
21018760,353470,No exit interview,Unknown/Disappeared,2018-10-03,2018-10-29,26 
21018768,488936,Place not meant for habitation,Non-compliance with program,2018-10-03,2018-11-10,38 
21018776,200300,With friends temporarily,Other,2015-11-18,2016-01-22,65 
21018824,200300,With family permanently,Disagreement with rules/persons,2016-01-24,2016-02-11,18 
21018872,200300,With friends temporarily,Other,2016-03-25,2016-04-05,11 
21018920,200300,With friends temporarily,Other,2016-05-23,2016-05-24,1 
21018968,200300,No exit interview,Unknown/Disappeared,2018-04-23,2018-05-01,8 
21019016,200300,No exit interview,Unknown/Disappeared,2018-10-02,2018-10-07,5 
21019928,200300,With friends temporarily,Other,2015-11-18,2016-01-22,65 
21019976,200300,With family permanently,Disagreement with rules/persons,2016-01-24,2016-02-11,18 
21020024,200300,With friends temporarily,Other,2016-03-25,2016-04-05,11 
21020072,200300,With friends temporarily,Other,2016-05-23,2016-05-24,1 
21020120,200300,No exit interview,Unknown/Disappeared,2018-04-23,2018-05-01,8 
21020168,200300,No exit interview,Unknown/Disappeared,2018-10-02,2018-10-07,5 
21020504,178687,Incarcerated,Criminal activity / violence,2018-10-02,2018-10-12,10 
21020505,349449,With family permanently,Completed program,2018-10-03,2018-11-30,58 
21020729,192790,With family temporarily,Other,2017-05-01,2017-05-03,2 
21020753,192790,Medical facility,Other,2017-07-01,2017-09-15,76 
21020777,192790,Emergency shelter,Other,2018-10-03,2019-01-14,103 
21020945,204395,With family permanently,Needs could not be met,2018-10-03,2018-10-19,16 
21023826,493023,With family permanently,Left for housing opp. before completing program,2018-10-07,2018-10-22,15 
21023834,275228,With family permanently,Needs could not be met,2018-10-03,2019-03-24,172 
21023906,493476,Hotel or motel without emergency voucher,Non-compliance with program,2018-10-08,2018-11-09,32 
21023914,493475,Client rental with other subsidy,Completed program,2018-10-08,2019-07-25,290 
21023922,493474,Medical facility,Needs could not be met,2018-10-08,2018-11-20,43 
21023930,143061,With friends temporarily,Other,2015-08-15,2015-09-19,35 
21024003,143061,With friends temporarily,Other,2015-09-21,2015-10-03,12 
21024076,143061,With friends temporarily,Other,2015-10-05,2015-10-10,5 
21024149,143061,With friends temporarily,Other,2015-10-11,2015-10-30,19 
21024222,143061,With friends temporarily,Other,2015-10-31,2015-12-11,41 
21024295,143061,With friends temporarily,Other,2015-12-14,2016-01-24,41 
21024368,143061,With friends temporarily,Other,2016-01-27,2016-02-15,19 
21024441,143061,With friends temporarily,Other,2016-03-14,2016-03-31,17 
21024514,143061,Psychiatric facility,Needs could not be met,2018-10-01,2018-12-15,75 
21029186,143061,With friends temporarily,Other,2015-08-15,2015-09-19,35 
21029259,143061,With friends temporarily,Other,2015-09-21,2015-10-03,12 
21029332,143061,With friends temporarily,Other,2015-10-05,2015-10-10,5 
21029405,143061,With friends temporarily,Other,2015-10-11,2015-10-30,19 
21029478,143061,With friends temporarily,Other,2015-10-31,2015-12-11,41 
21029551,143061,With friends temporarily,Other,2015-12-14,2016-01-24,41 
21029624,143061,With friends temporarily,Other,2016-01-27,2016-02-15,19 
21029697,143061,With friends temporarily,Other,2016-03-14,2016-03-31,17 
21029770,143061,Psychiatric facility,Needs could not be met,2018-10-01,2018-12-15,75 
21029843,379111,With family temporarily,Left for housing opp. before completing program,2018-10-08,2018-10-26,18 
21029851,252170,With friends temporarily,Other,2016-05-12,2016-05-24,12 
21029899,252170,With friends temporarily,Other,2016-05-25,2016-07-01,37 
21029947,252170,With friends temporarily,Other,2016-07-04,2016-07-05,1 
21029995,252170,Data not collected,Unknown/Disappeared,2016-07-07,2016-08-14,38 
21030043,252170,With friends permanently,Completed program,2016-08-18,2016-09-25,38 
21030091,252170,No exit interview,Unknown/Disappeared,2018-10-10,2018-10-12,2 
21031579,166240,No exit interview,Unknown/Disappeared,2018-10-10,2018-10-18,8 
21031587,216784,With family temporarily,Other,2017-06-28,2017-07-07,9 
21031603,216784,Transitional homeless housing,Non-compliance with program,2018-10-09,2018-11-02,24 
21031651,426926,Client rental with other subsidy,Completed program,2018-10-14,2019-02-21,130 
21031659,493799,Client rental with other subsidy,Completed program,2018-10-08,2019-01-18,102 
21031667,442949,No exit interview,Unknown/Disappeared,2016-12-05,2016-12-18,13 
21031691,442949,No exit interview,Unknown/Disappeared,2016-12-19,2016-12-28,9 
21031715,442949,No exit interview,Unknown/Disappeared,2018-10-11,2018-10-18,7 
21031883,494064,With family permanently,Left for housing opp. before completing program,2018-10-15,2018-10-25,10 
21031891,204290,Place not meant for habitation,Reached maximum time allowed,2018-10-15,2019-04-16,183 
21031909,204290,Client rental without subsidy,Completed program,2019-05-06,2019-05-30,24 
21031963,493723,No exit interview,Unknown/Disappeared,2018-10-10,2018-12-22,73 
21031971,494261,No exit interview,Unknown/Disappeared,2018-10-17,2018-11-30,44 
21031997,494261,No exit interview,Unknown/Disappeared,2019-04-23,2019-07-12,80 
21032023,494261,No exit interview,Unknown/Disappeared,2019-08-17,2019-09-15,29 
21032049,494261,No exit interview,Unknown/Disappeared,2018-10-17,2018-11-30,44 
21032075,494261,No exit interview,Unknown/Disappeared,2019-04-23,2019-07-12,80 
21032101,494261,No exit interview,Unknown/Disappeared,2019-08-17,2019-09-15,29 
21032205,404217,With friends temporarily,Other,2015-09-02,2015-09-18,16 
21032333,404217,With friends temporarily,Other,2015-11-15,2015-11-21,6 
21032461,404217,With friends temporarily,Other,2015-12-14,2015-12-23,9 
21032589,404217,With friends temporarily,Other,2015-12-24,2015-12-26,2 
21032717,404217,With friends temporarily,Other,2016-01-17,2016-01-18,1 
21032845,404217,Client rental without subsidy,Left for housing opp. before completing program,2016-01-25,2016-01-31,6 
21032973,404217,Incarcerated,Criminal activity / violence,2018-10-15,2018-10-19,4 
21033101,404217,With friends temporarily,Non-compliance with program,2018-12-19,2019-02-11,54 
21038349,404217,With friends temporarily,Other,2015-09-02,2015-09-18,16 
21038477,404217,With friends temporarily,Other,2015-11-15,2015-11-21,6 
21038605,404217,With friends temporarily,Other,2015-12-14,2015-12-23,9 
21038733,404217,With friends temporarily,Other,2015-12-24,2015-12-26,2 
21038861,404217,With friends temporarily,Other,2016-01-17,2016-01-18,1 
21038989,404217,Client rental without subsidy,Left for housing opp. before completing program,2016-01-25,2016-01-31,6 
21039117,404217,Incarcerated,Criminal activity / violence,2018-10-15,2018-10-19,4 
21039245,404217,With friends temporarily,Non-compliance with program,2018-12-19,2019-02-11,54 
21040397,178760,No exit interview,Unknown/Disappeared,2018-10-17,2019-04-10,175 
21040469,494262,With family temporarily,Left for housing opp. before completing program,2018-10-17,2018-11-20,34 
21040477,494120,With family permanently,Needs could not be met,2018-10-19,2018-11-02,14 
21040485,325687,No exit interview,Unknown/Disappeared,2017-01-08,2017-01-11,3 
21040509,325687,With family temporarily,Left for housing opp. before completing program,2018-10-22,2018-10-26,4 
21040533,325687,No exit interview,Unknown/Disappeared,2019-02-11,2019-02-20,9 
21040557,325687,No exit interview,Unknown/Disappeared,2017-01-08,2017-01-11,3 
21040581,325687,With family temporarily,Left for housing opp. before completing program,2018-10-22,2018-10-26,4 
21040605,325687,No exit interview,Unknown/Disappeared,2019-02-11,2019-02-20,9 
21040701,265171,With friends temporarily,Other,2016-02-01,2016-02-19,18 
21040725,265171,No exit interview,Criminal activity / violence,2016-03-02,2016-03-25,23 
21040749,265171,With friends temporarily,Left for housing opp. before completing program,2018-10-22,2018-12-24,63 
21040845,265171,With friends temporarily,Other,2016-02-01,2016-02-19,18 
21040869,265171,No exit interview,Criminal activity / violence,2016-03-02,2016-03-25,23 
21040893,265171,With friends temporarily,Left for housing opp. before completing program,2018-10-22,2018-12-24,63 
21040917,407616,No exit interview,Unknown/Disappeared,2018-10-23,2019-04-07,166 
21040925,490020,No exit interview,Unknown/Disappeared,2018-10-22,2018-11-05,14 
21040933,495022,Client rental without subsidy,Left for housing opp. before completing program,2018-10-24,2018-11-26,33 
21040941,388135,No exit interview,Unknown/Disappeared,2017-08-03,2017-09-28,56 
21041001,388135,No exit interview,Other,2018-01-03,2018-01-12,9 
21041061,388135,With friends temporarily,Non-compliance with program,2018-02-14,2018-04-09,54 
21041121,388135,Place not meant for habitation,Criminal activity / violence,2018-10-22,2018-12-11,50 
21042901,476863,Place not meant for habitation,Criminal activity / violence,2018-03-01,2018-09-11,194 
21042917,476863,Client rental with other subsidy,Completed program,2018-10-17,2019-02-22,128 
21043477,470290,No exit interview,Unknown/Disappeared,2017-12-04,2018-01-14,41 
21043501,470290,Incarcerated,Criminal activity / violence,2018-10-20,2018-12-15,56 
21043525,470290,No exit interview,Unknown/Disappeared,2019-02-25,2019-04-09,43 
21043621,470290,No exit interview,Unknown/Disappeared,2017-12-04,2018-01-14,41 
21043645,470290,Incarcerated,Criminal activity / violence,2018-10-20,2018-12-15,56 
21043669,470290,No exit interview,Unknown/Disappeared,2019-02-25,2019-04-09,43 
21045421,459271,With family permanently,Needs could not be met,2018-09-19,2018-12-02,74 
21045429,495392,Medical facility,Needs could not be met,2018-10-29,2018-11-30,32 
21045653,495985,Place not meant for habitation,Needs could not be met,2018-11-01,2019-01-03,63 
21045669,495985,Place not meant for habitation,Non-compliance with program,2019-01-17,2019-07-26,190 
21045717,460752,No exit interview,Unknown/Disappeared,2017-08-12,2017-09-05,24 
21045733,460752,,,2018-11-07,,
21045749,460752,No exit interview,Unknown/Disappeared,2017-08-12,2017-09-05,24 
21045765,460752,,,2018-11-07,,
21045781,2054,With friends temporarily,Other,2015-09-09,2015-09-12,3 
21045925,2054,With friends temporarily,Other,2015-09-28,2015-10-30,32 
21046069,2054,With friends temporarily,Other,2016-03-22,2016-04-25,34 
21046213,2054,With friends temporarily,Other,2016-05-12,2016-05-13,1 
21046357,2054,With friends temporarily,Other,2016-05-14,2016-06-01,18 
21046501,2054,Data not collected,Unknown/Disappeared,2016-06-12,2016-07-28,46 
21046645,2054,Data not collected,Unknown/Disappeared,2016-08-03,2016-09-01,29 
21046789,2054,No exit interview,Unknown/Disappeared,2016-09-14,2016-12-18,95 
21046933,2054,With family temporarily,Other,2017-04-16,2017-05-04,18 
21047077,2054,With family temporarily,Other,2017-05-06,2017-06-01,26 
21047221,2054,No exit interview,Unknown/Disappeared,2017-06-05,2017-10-31,148 
21047365,2054,Place not meant for habitation,Unknown/Disappeared,2017-11-06,2017-12-19,43 
21047509,2054,No exit interview,Unknown/Disappeared,2018-04-17,2018-09-13,149 
21047653,2054,Hotel or motel without emergency voucher,Non-compliance with program,2018-11-08,2019-01-10,63 
21047797,2054,Place not meant for habitation,Non-compliance with program,2019-04-11,2019-08-22,133 
21047941,2054,No exit interview,Unknown/Disappeared,2019-09-17,2019-10-03,16 
